x,y,radius
254.1506594,69.43378623,0.5
279.1774592,69.3917986,0.5
149.7729515,69.79730953,0.5
59.94034609,70.23094535,0.5
329.2333291,70.20825499,0.5
342.3648513,70.2192687,0.5
93.8042877,70.7708102,0.5
338.2431981,70.64536088,0.5
394.2710638,70.55584274,0.5
33.61030463,70.88390545,0.5
70.23588026,70.93941154,0.5
139.2354385,71.491986,0.5
211.0743328,70.97469228,0.5
302.3711305,71.57533336,0.5
322.2490138,71.63639325,0.5
327.0861822,71.828542,0.5
27.84484935,72.15734974,0.5
49.05497973,71.99938084,0.5
3.741917734,72.36331663,0.5
77.25257377,72.60307199,0.5
145.0018363,72.36191528,0.5
171.0958432,72.3682657,0.5
319.0375564,72.45384547,0.5
36.73573644,72.7475307,0.5
206.6170783,72.80467554,0.5
213.643665,72.20149254,0.5
148.1196353,73.30824308,0.5
187.9438205,73.38342551,0.5
198.3095762,73.70323953,0.5
265.8099694,73.69465459,0.5
371.5702692,73.51530648,0.5
129.9720054,73.8955636,0.5
382.1296643,74.75049587,0.5
170.3453967,75.04429249,0.5
193.6568862,75.06120967,0.5
4.065329535,75.5182369,0.5
377.1036409,75.33271988,0.5
35.96646902,75.79328144,0.5
44.59379032,75.84662801,0.5
94.69175177,75.84454203,0.5
196.2377554,75.86260888,0.5
0.1406469761,76.12894572,0.5
298.4768318,76.85155685,0.5
